identifier	label	source_label	source_path	verdict
habitatmech:BACDIVE.009b89b30a	Cotton-other-fibres	Cotton-other-fibres		ok — a habitat: a place, material or site an organism can be isolated from, so the sweep's term-request disposition stands
habitatmech:BACDIVE.0f078d72a7	Canker	Canker		ok — a habitat: a place, material or site an organism can be isolated from, so the sweep's term-request disposition stands
habitatmech:BACDIVE.4c48b5114d	Wilt	Wilt		wrong — a plant disease STATE, not a site. Wilting is what the plant does; the habitat is whichever tissue was sampled, which BacDive does not say.
habitatmech:BACDIVE.a2edc55556	Defined-media	Defined-media		ok — a habitat: a place, material or site an organism can be isolated from, so the sweep's term-request disposition stands
habitatmech:GOLD.013b99db03	Spacecraft Assembly Cleanrooms	Spacecraft Assembly Cleanrooms	Engineered > Built environment > Spacecraft Assembly Cleanrooms	ok — a habitat: a place, material or site an organism can be isolated from, so the sweep's term-request disposition stands
habitatmech:GOLD.116fcefc51	Spent mushroom substrate	Spent mushroom substrate	Engineered > Solid waste > Agricultural waste > Spent mushroom substrate	ok — a habitat: a place, material or site an organism can be isolated from, so the sweep's term-request disposition stands
habitatmech:GOLD.1a8c452712	Beaker's/Popliteal cyst	Beaker's/Popliteal cyst	Host-associated > Mammals: Human > Skeletal system > Joint capsule > Beaker's/Popliteal cyst	ok — a habitat: a place, material or site an organism can be isolated from, so the sweep's term-request disposition stands
habitatmech:GOLD.1d9982b7bf	Soil-bedrock interface	Soil-bedrock interface	Environmental > Terrestrial > Soil-bedrock interface	ok — a habitat: a place, material or site an organism can be isolated from, so the sweep's term-request disposition stands
habitatmech:GOLD.23007d6432	Cyanide/thiocyanate	Cyanide/thiocyanate	Engineered > Bioreactor > Wastewater > Cyanide/thiocyanate	ok — a habitat: a place, material or site an organism can be isolated from, so the sweep's term-request disposition stands
habitatmech:GOLD.363486c188	Egg products	Egg products	Engineered > Food production > Egg products	ok — a habitat: a place, material or site an organism can be isolated from, so the sweep's term-request disposition stands
habitatmech:GOLD.56113a85e1	Mangrove area	Mangrove area	Environmental > Aquatic > Marine > Intertidal zone > Mangrove area	ok — a habitat: a place, material or site an organism can be isolated from, so the sweep's term-request disposition stands
habitatmech:GOLD.5c3db359b7	Cave stream sediment	Cave stream sediment	Environmental > Aquatic > Deep subsurface > Groundwater > Cave stream sediment	ok — a habitat: a place, material or site an organism can be isolated from, so the sweep's term-request disposition stands
habitatmech:GOLD.5df162af13	Modeled	Modeled	Engineered > Modeled	wrong — GOLD's in-silico bin. A modelled system is not a place an organism was isolated from.
habitatmech:GOLD.62bafb5e20	Cave pool sediment	Cave pool sediment	Environmental > Aquatic > Deep subsurface > Groundwater > Cave pool sediment	ok — a habitat: a place, material or site an organism can be isolated from, so the sweep's term-request disposition stands
habitatmech:GOLD.662b88f6fc	Cooked fish	Cooked fish	Engineered > Food production > Fish products > Cooked fish	ok — a habitat: a place, material or site an organism can be isolated from, so the sweep's term-request disposition stands
habitatmech:GOLD.6c8cf86bde	Splenic aspirate	Splenic aspirate	Host-associated > Mammals: Human > Lymphatic system > Spleen > Splenic aspirate	ok — a habitat: a place, material or site an organism can be isolated from, so the sweep's term-request disposition stands
habitatmech:GOLD.6d518b2c16	Acid sulfate soil	Acid sulfate soil	Environmental > Terrestrial > Soil > Coastal area > Acid sulfate soil	ok — a habitat: a place, material or site an organism can be isolated from, so the sweep's term-request disposition stands
habitatmech:GOLD.77f9ebdc4d	Feedstock	Feedstock	Engineered > Solid waste > Feedstock	ok — a habitat: a place, material or site an organism can be isolated from, so the sweep's term-request disposition stands
habitatmech:GOLD.7df92c13b7	Biotransformation	Biotransformation	Engineered > Biotransformation	wrong — a PROCESS, not a place. The habitat is whatever vessel it runs in.
habitatmech:GOLD.9676173e79	Sediment core	Sediment core	Environmental > Terrestrial > Deep subsurface > Sub-seafloor > Sediment core	ok — a habitat: a place, material or site an organism can be isolated from, so the sweep's term-request disposition stands
habitatmech:GOLD.97738241e1	Gallbladder stones	Gallbladder stones	Host-associated > Mammals: Human > Digestive system > Biliary tract > Gallbladder stones	ok — a habitat: a place, material or site an organism can be isolated from, so the sweep's term-request disposition stands
habitatmech:GOLD.9cc7667041	Hospital bedroom	Hospital bedroom	Engineered > Built environment > Hospital > Hospital bedroom	ok — a habitat: a place, material or site an organism can be isolated from, so the sweep's term-request disposition stands
habitatmech:GOLD.b1b5044bde	Soil crust	Soil crust	Environmental > Terrestrial > Soil > Soil crust	ok — a habitat: a place, material or site an organism can be isolated from, so the sweep's term-request disposition stands
habitatmech:GOLD.b22544c1b5	Soy sauce	Soy sauce	Engineered > Food production > Fermented food > Soy sauce	ok — a habitat: a place, material or site an organism can be isolated from, so the sweep's term-request disposition stands
habitatmech:GOLD.b8e99e08e5	Endophytes	Endophytes	Host-associated > Plants > Phyllosphere > Phylloplane/Leaf > Endophytes	ok — a habitat: a place, material or site an organism can be isolated from, so the sweep's term-request disposition stands
habitatmech:GOLD.bab80a1f4c	Anaerobic media	Anaerobic media	Engineered > Lab enrichment > Defined media > Anaerobic media	ok — a habitat: a place, material or site an organism can be isolated from, so the sweep's term-request disposition stands
habitatmech:GOLD.c1dd680dc7	C horizon/Substratum	C horizon/Substratum	Environmental > Terrestrial > Soil > Tropical forest > C horizon/Substratum	ok — a habitat: a place, material or site an organism can be isolated from, so the sweep's term-request disposition stands
habitatmech:GOLD.c1fcc72703	Marine sediment inoculum	Marine sediment inoculum	Engineered > Bioreactor > Continuous culture > Marine sediment inoculum	ok — a habitat: a place, material or site an organism can be isolated from, so the sweep's term-request disposition stands
habitatmech:GOLD.c60355cc36	Tobacco production	Tobacco production	Engineered > Drugs production > Tobacco production	ok — a habitat: a place, material or site an organism can be isolated from, so the sweep's term-request disposition stands
