identifier	label	source_label	source_path	verdict
BTO:0000060	alveolus	alveolus		ok — homonym risk (lung vs tooth alveolus) but PREGO named the CURIE itself; BTO defines it as the lung sac
BTO:0000144	meninx	meninx		ok
BTO:0000208	caryopsis	caryopsis		ok
BTO:0000463	filament	filament		ok — homonym risk (stamen vs algal filament); PREGO self-grounded, both readings are habitats
BTO:0000519	gingiva	gingiva		ok
BTO:0000553	peripheral blood	peripheral blood		ok
BTO:0000917	needle	needle		ok — homonym risk (conifer needle vs syringe); BTO defines it as a needle-shaped leaf
BTO:0000975	ovary	ovary		ok
BTO:0001102	blood vessel	blood vessel		ok
BTO:0001196	SF-21 cell	SF-21 cell		ok
BTO:0001658	aerial part	aerial part		ok
BTO:0001780	oxyntic cell	oxyntic cell		ok
BTO:0002072	squamous epithelium	squamous epithelium		ok
BTO:0004822	germ tube	Germ tube	Host-associated > Fungi > Germ tube	ok
ENVO:00000040	waterfall	waterfall		ok
ENVO:00000053	freshwater marsh	Freshwater marsh	Environmental > Terrestrial > Soil > Wetland-upland transition > Freshwater marsh	ok
ENVO:00000084	mountain pass	mountain pass		ok — a landform rather than a substrate, but an exact match and a real sampling site
ENVO:00000501	submerged bed	submerged bed		ok
ENVO:00002001	waste water	wastewater		ok
ENVO:00002223	oligotrophic water	oligotrophic water		ok
ENVO:00005802	bulk soil	bulk soil		ok
ENVO:00012408	aquifer	aquifer		ok
ENVO:01000066	marine anoxic zone	marine anoxic zone		ok
ENVO:01000105	marine benthic feature	ENVO:01000105		ok
ENVO:01000161	marine sponge reef	marine sponge reef		ok
ENVO:01000174	forest biome	forest biome		ok
ENVO:01000198	mixed forest biome	mixed forest biome		ok
ENVO:01000620	mesocosm	Mesocosm	Engineered > Artificial ecosystem > Mesocosm	ok
ENVO:01000621	microcosm	Microcosm	Engineered > Artificial ecosystem > Microcosm	ok
ENVO:03600011	mineral horizon	Mineral horizon	Environmental > Terrestrial > Soil > Mineral horizon	ok
ENVO:03600041	marine lake	Marine lake	Environmental > Aquatic > Marine > Marine lake	ok
ENVO:03600061	shipwreck	Shipwreck	Environmental > Aquatic > Marine > Shipwreck	ok
UBERON:0000412	dermal papilla	Dermal papilla	Host-associated > Mammals: Human > Integumentary system > Skin > Dermal papilla	ok
UBERON:0001750	lacrimal apparatus	Lacrimal apparatus	Host-associated > Mammals: Human > Integumentary system > Lacrimal apparatus	ok
UBERON:0001914	colostrum	Colostrum	Host-associated > Mammals > Integumentary system > Mammary gland > Colostrum	ok
UBERON:0011997	coelom	Coelom	Host-associated > Annelida > Coelom	ok
UBERON:0012447	podotheca	Podotheca	Host-associated > Birds > Integumentary system > Skin > Podotheca	ok
UBERON:0035963	epithelial lining fluid	Epithelial lining fluid	Host-associated > Mammals: Human > Respiratory system > Epithelial lining fluid	ok
mesh:D000038	Abscess	Abscess	Host-associated > Mammals: Human > Abdominal/Peritoneal cavity > Abscess	ok
mesh:D062611	Solid Waste	Solid waste	Engineered > Solid waste	ok
