identifier	label	source_label	source_path	verdict
habitatmech:GOLD.06a3636aa2	Connective tissue	Connective tissue	Host-associated > Mammals > Connective tissue	correct
habitatmech:GOLD.0d343fdd03	Lung	Lung	Host-associated > Mammals > Respiratory system > Lung	correct
habitatmech:GOLD.0fe2a08dac	Oropharynx	Oropharynx	Host-associated > Mammals: Human > Digestive system > Pharynx/Throat > Oropharynx	correct
habitatmech:GOLD.171890b5d6	Sediment	Sediment	Environmental > Aquatic > Thermal springs > Acid lake > Sediment	correct
habitatmech:GOLD.1d3e238d30	Anal canal mucosa	Anal canal mucosa	Host-associated > Mammals > Digestive system > Large intestine > Anal canal mucosa	correct
habitatmech:GOLD.415be372cd	Humus	Humus	Environmental > Terrestrial > Soil > Temperate forest > Humus	correct
habitatmech:GOLD.476e09babd	Blood	Blood	Host-associated > Fish > Circulatory system > Blood	correct
habitatmech:GOLD.5068cb6b3d	Cornea	Cornea	Host-associated > Mammals: Human > Visual system > Eye > Cornea	correct
habitatmech:GOLD.5d784b0218	Abscess	Abscess	Host-associated > Mammals: Human > Integumentary system > Skin > Abscess	correct
habitatmech:GOLD.67c565f695	Midgut	Midgut	Host-associated > Arthropoda: Insects > Digestive system > Midgut	correct
habitatmech:GOLD.774bc38294	Bone	Bone	Host-associated > Mammals: Human > Remains > Decomposed body > Bone	correct
habitatmech:GOLD.7c20efa06b	Stomach	Stomach	Host-associated > Birds > Digestive system > Stomach	correct
habitatmech:GOLD.7d5544155b	Sediment	Sediment	Environmental > Aquatic > Thermal springs > Near-boiling (>90C) > Sediment	correct
habitatmech:GOLD.87598cbdca	Sediment	Sediment	Engineered > Wastewater > Industrial wastewater > Mine water > Sediment	correct
habitatmech:GOLD.8a68d0f6f5	Digestive system	Digestive system	Host-associated > Fish > Digestive system	correct
habitatmech:GOLD.8e47fd50d1	Trachea	Trachea	Host-associated > Mammals: Human > Respiratory system > Trachea	correct
habitatmech:GOLD.a2d2eb3d96	Anal canal	Anal canal	Host-associated > Mammals: Human > Digestive system > Large intestine > Anal canal	correct
habitatmech:GOLD.a89d29a4f5	Whole body	Whole body	Host-associated > Arthropoda: Crustaceans > Larva: Nauplius > Whole body	correct
habitatmech:GOLD.ad048728d0	Ovaries	Ovaries	Host-associated > Arthropoda: Insects > Reproductive system > Ovaries	correct
habitatmech:GOLD.b4b6e9b05c	Bioreactor	Bioreactor	Engineered > Bioremediation > Tetrachloroethylene and derivatives > Chloroethene > Bioreactor	correct
habitatmech:GOLD.b4dcdc3c3b	Plastic	Plastic	Engineered > Industrial production > Engineered product > Material > Plastic	correct
habitatmech:GOLD.b64b241c4b	Fascia	Fascia	Host-associated > Mammals > Connective tissue > Fascia	correct
habitatmech:GOLD.bc91213af9	Trachea	Trachea	Host-associated > Mammals > Respiratory system > Trachea	correct
habitatmech:GOLD.c299b80057	Epilimnion	Epilimnion	Environmental > Aquatic > Non-marine Saline and Alkaline > Saline > Epilimnion	correct
habitatmech:GOLD.cbef9ba962	Sediment	Sediment	Environmental > Aquatic > Freshwater > Creek > Sediment	correct
habitatmech:GOLD.d489490eaf	Muscular system	Muscular system	Host-associated > Fish > Muscular system	correct
habitatmech:GOLD.d6c97cc5bd	Sediment	Sediment	Engineered > Artificial ecosystem > Aquaculture > Marine fish farm > Sediment	correct
habitatmech:GOLD.dbd07e057b	Sediment	Sediment	Engineered > Wastewater > Industrial wastewater > Settling tank > Sediment	correct
habitatmech:GOLD.ddded268b0	Jejunum	Jejunum	Host-associated > Mammals: Human > Digestive system > Small intestine > Jejunum	correct
habitatmech:GOLD.ea67ca30cb	Skeletal system	Skeletal system	Host-associated > Mammals: Human > Skeletal system	correct
habitatmech:GOLD.eb135f1300	Sediment	Sediment	Environmental > Aquatic > Freshwater > Bog lake > Sediment	correct
habitatmech:GOLD.eb55ee563a	Supragingival plaque	Supragingival plaque	Host-associated > Mammals: Human > Digestive system > Oral cavity > Supragingival plaque	correct
habitatmech:GOLD.f1e0d494f8	Biofilm	Biofilm	Host-associated > Plants > Phyllosphere > Phylloplane/Leaf surface > Biofilm	correct
habitatmech:GOLD.f4ad599661	Umbilical cord blood	Umbilical cord blood	Host-associated > Mammals > Fetus > Fetal tissue > Umbilical cord blood	correct
habitatmech:GOLD.f75a08c716	Long bone	Long bone	Host-associated > Mammals: Human > Skeletal system > Bone > Long bone	correct
habitatmech:GOLD.f7cbad92b8	Gut	Gut	Host-associated > Arthropoda: Crustaceans > Digestive system > Gut	correct
habitatmech:GOLD.f7cc0ef1b4	Bronchi	Bronchi	Host-associated > Birds > Respiratory system > Bronchi	correct
habitatmech:GOLD.fd0f5fb682	Respiratory system	Respiratory system	Host-associated > Mollusca > Respiratory system	correct
habitatmech:GOLD.fd6ea3657a	Whole body	Whole body	Host-associated > Arthropoda: Crustaceans > Larva: Zoea > Whole body	correct
habitatmech:GOLD.fe0f5e3f09	Gut	Gut	Host-associated > Mollusca > Digestive system > Gut	correct
