identifier	slug
BTO:0000018	a_549_cell
BTO:0000020	abdomen
BTO:0000025	amniotic_cavity
BTO:0000047	adrenal_gland
BTO:0000058	alimentary_canal
BTO:0000060	alveolus
BTO:0000062	amastigote
BTO:0000068	amniotic_fluid
BTO:0000079	anther
BTO:0000081	reproductive_system
BTO:0000082	male_reproductive_system
BTO:0000083	female_reproductive_system
BTO:0000085	appressorium
BTO:0000088	cardiovascular_system
BTO:0000089	blood
BTO:0000090	ascidian
BTO:0000091	ascites
BTO:0000109	bacteroid
BTO:0000120	bhk_21_cell
BTO:0000121	bile
BTO:0000122	bile_duct
BTO:0000123	bladder
BTO:0000125	blast_cell
BTO:0000130	neutrophil
BTO:0000131	blood_plasma
BTO:0000138	midbrain
BTO:0000141	bone_marrow
BTO:0000142	brain
BTO:0000144	meninx
BTO:0000146	brain_stem
BTO:0000149	breast
BTO:0000155	bronchoalveolar_lavage_fluid
BTO:0000159	bulb
BTO:0000166	cecum
BTO:0000176	carcinoma_cell
BTO:0000182	ht_29_cell
BTO:0000195	caco_2_cell
BTO:0000203	respiratory_system
BTO:0000208	caryopsis
BTO:0000213	cecum_mucosa
BTO:0000227	central_nervous_system
BTO:0000232	cerebellum
BTO:0000237	cerebrospinal_fluid
BTO:0000243	vagina
BTO:0000255	brain_cell_line
BTO:0000266	cob
BTO:0000269	colon
BTO:0000271	colonic_mucosa
BTO:0000282	head
BTO:0000286	cornea
BTO:0000301	crop
BTO:0000303	crown_gall
BTO:0000313	hypodermis
BTO:0000316	culture_medium
BTO:0000318	cv_1_cell
BTO:0000320	cyst
BTO:0000338	dental_plaque
BTO:0000339	dental_pulp
BTO:0000341	diaphragm
BTO:0000343	renal_tubule
BTO:0000347	reticulum
BTO:0000365	duodenum
BTO:0000367	duodenal_mucosa
BTO:0000376	electric_organ
BTO:0000377	elementary_body
BTO:0000379	embryo
BTO:0000397	tooth
BTO:0000398	enterocyte
BTO:0000399	eosinophil
BTO:0000404	epidermis
BTO:0000414	epithelial_cell
BTO:0000416	epithelium
BTO:0000421	connective_tissue
BTO:0000424	erythrocyte
BTO:0000442	fat_body
BTO:0000447	feather
BTO:0000450	fiber
BTO:0000452	fibroblast
BTO:0000463	filament
BTO:0000464	flagellate
BTO:0000469	flower
BTO:0000476	foot
BTO:0000480	forestomach
BTO:0000486	fruit
BTO:0000493	gall_bladder
BTO:0000495	gametophyte
BTO:0000500	gastric_epithelium
BTO:0000501	gastric_juice
BTO:0000507	foregut
BTO:0000510	hindgut
BTO:0000511	gastrointestinal_tract
BTO:0000514	germ
BTO:0000518	gill
BTO:0000519	gingiva
BTO:0000522	gland
BTO:0000534	gonad
BTO:0000535	germ_cell
BTO:0000536	gracilis_muscle
BTO:0000537	nectar
BTO:0000545	gut
BTO:0000546	gut_mucosa
BTO:0000553	peripheral_blood
BTO:0000555	hair_root
BTO:0000561	posterior_lobe
BTO:0000562	heart
BTO:0000564	heart_valve
BTO:0000567	hela_cell
BTO:0000572	hemolymph
BTO:0000574	hematopoietic_cell
BTO:0000586	colonic_cancer_cell
BTO:0000597	hepatopancreas
BTO:0000599	hep_g2_cell
BTO:0000600	heterocyst
BTO:0000605	honey
BTO:0000620	ileum
BTO:0000628	inflorescence
BTO:0000642	intestinal_mucosa
BTO:0000646	left_colon
BTO:0000648	intestine
BTO:0000649	right_colon
BTO:0000651	small_intestine
BTO:0000657	jejunum
BTO:0000659	juice
BTO:0000662	nasopharynx
BTO:0000664	k_562_cell
BTO:0000667	keratinocyte
BTO:0000669	embryonic_cell_line
BTO:0000671	kidney
BTO:0000706	large_intestine
BTO:0000707	larva
BTO:0000710	latex
BTO:0000713	leaf
BTO:0000719	leaf_lamina
BTO:0000731	acute_lymphoblastic_leukemia_cell
BTO:0000735	sporophyte
BTO:0000737	leukemia_cell_line
BTO:0000738	hl_60_cell
BTO:0000751	leukocyte
BTO:0000753	lymphoid_tissue
BTO:0000759	liver
BTO:0000763	lung
BTO:0000769	submandibular_lymph_node
BTO:0000775	lymphocyte
BTO:0000776	b_lymphocyte
BTO:0000777	adenoid
BTO:0000781	intestinal_epithelium
BTO:0000782	t_lymphocyte
BTO:0000784	lymph_node
BTO:0000801	macrophage
BTO:0000804	j_774a_1_cell
BTO:0000810	malpighian_tubule
BTO:0000817	mammary_gland
BTO:0000818	spinal_column
BTO:0000828	throat
BTO:0000845	meiotic_cell
BTO:0000846	erythroleukemia_cell_line
BTO:0000849	melanoma_cell_line
BTO:0000852	meristem
BTO:0000856	mesocarp
BTO:0000858	mesophyll
BTO:0000862	heart_ventricle
BTO:0000863	midgut
BTO:0000876	monocyte
BTO:0000886	mucosa
BTO:0000888	muscle_fibre
BTO:0000893	mycorrhiza
BTO:0000901	myocardium
BTO:0000912	nasal_mucosa
BTO:0000917	needle
BTO:0000923	nephridium
BTO:0000953	nurse_cell
BTO:0000954	nymph
BTO:0000956	gut_epithelium
BTO:0000959	esophagus
BTO:0000964	oocyte
BTO:0000968	osteoclast
BTO:0000973	respiratory_mucosa
BTO:0000975	ovary
BTO:0000976	hep_2_cell
BTO:0000980	oviduct
BTO:0000984	p_388d1_cell
BTO:0000988	pancreas
BTO:0001009	pc_12_cell
BTO:0001025	peripheral_blood_mononuclear_cell
BTO:0001028	peripheral_nervous_system
BTO:0001031	peritoneal_fluid
BTO:0001037	sensory_cell
BTO:0001041	petiole
BTO:0001043	adult
BTO:0001044	phagocyte
BTO:0001047	pharyngeal_mucosa
BTO:0001049	pharynx
BTO:0001058	phloem
BTO:0001060	photoreceptor_cell
BTO:0001067	pineal_gland
BTO:0001069	pitcher
BTO:0001073	hypophysis
BTO:0001078	placenta
BTO:0001085	vascular_system
BTO:0001086	embryonic_stem_cell
BTO:0001090	mouth
BTO:0001097	pollen
BTO:0001102	blood_vessel
BTO:0001113	prepuce
BTO:0001129	prostate_gland
BTO:0001130	prostate_gland_cancer_cell
BTO:0001142	pulp
BTO:0001158	rectum
BTO:0001166	renal_cortex
BTO:0001168	rennet
BTO:0001170	resting_cell
BTO:0001171	spore
BTO:0001172	reticulate_body
BTO:0001174	reticuloendothelial_system
BTO:0001176	endothelial_cell
BTO:0001181	rhizome
BTO:0001188	root
BTO:0001190	root_nodule
BTO:0001191	root_tip
BTO:0001192	rootlet
BTO:0001194	rumen
BTO:0001196	sf_21_cell
BTO:0001201	rosette
BTO:0001202	saliva
BTO:0001203	salivary_gland
BTO:0001210	sgs_cell
BTO:0001220	schwann_cell
BTO:0001228	seedling
BTO:0001230	semen
BTO:0001243	shoot
BTO:0001244	urinary_tract
BTO:0001253	skin
