retired_slug	retired_identifier	retired_label	current_identifiers	resolved_by
44540-starter-cultures-efsa-foodex2-foodon-03544454	FOODON:03544454	44540 - starter cultures (efsa foodex2)	habitatmech:BACDIVE.9eabedc3a1	source_concepts_merged
50122200-aquatic-plants-prepared-processed-gs1-gpc-foodon-03401156	FOODON:03401156	50122200 - aquatic plants prepared/processed (gs1 gpc)	habitatmech:BACDIVE.38260eea00	source_concepts_merged
acid-mine-drainage-habitatmech-gold-d727388954	habitatmech:GOLD.d727388954	Acid Mine Drainage	ENVO:00001997	source_concepts_merged
air-sacs-habitatmech-gold-1dec05f10e	habitatmech:GOLD.1dec05f10e	Air sacs	UBERON:0009060	source_concepts_merged
algae-habitatmech-gold-02383c20a7	habitatmech:GOLD.02383c20a7	alga-associated environment	habitatmech:GOLD.02383c20a7	label_changed
amphibia-habitatmech-gold-0cd585a031	habitatmech:GOLD.0cd585a031	amphibian-associated environment	habitatmech:GOLD.0cd585a031	label_changed
anatomical-space-uberon-0000464	UBERON:0000464	anatomical space	habitatmech:GOLD.f3e0b27db6	source_concepts_merged
animal-foodon-00003004	FOODON:00003004	animal	ENVO:00002033	source_concepts_merged
annelida-habitatmech-gold-6e10201167	habitatmech:GOLD.6e10201167	annelid-associated environment	habitatmech:GOLD.6e10201167	label_changed
antennal-green-glands-habitatmech-gold-cb3fda7227	habitatmech:GOLD.cb3fda7227	Antennal/Green glands	UBERON:0009963	source_concepts_merged
anterior-chamber-of-eyeball-uberon-0001766	UBERON:0001766	anterior chamber of eyeball	habitatmech:GOLD.53e4290463	source_concepts_merged
anthozoa-mesh-d037421	mesh:D037421	Anthozoa	ENVO:01001179	source_concepts_merged
anthropogenic-contamination-feature-envo-00002204	ENVO:00002204	anthropogenic contamination feature	habitatmech:BACDIVE.0c0740efd8	source_concepts_merged
aquifer-habitatmech-gold-9f7a6c66a7	habitatmech:GOLD.9f7a6c66a7	Aquifer	ENVO:00012408	source_concepts_merged
area-of-mixed-forest-envo-01000855	ENVO:01000855	area of mixed forest	habitatmech:GOLD.40979f5751	source_concepts_merged
arterial-habitatmech-gold-b183820c16	habitatmech:GOLD.b183820c16	Arterial	BTO:0006188	source_concepts_merged
arthropoda-crustaceans-habitatmech-gold-2959225799	habitatmech:GOLD.2959225799	crustacean-associated environment	habitatmech:GOLD.2959225799	label_changed
arthropoda-insects-habitatmech-gold-dba2a83b95	habitatmech:GOLD.dba2a83b95	insect-associated environment	habitatmech:GOLD.dba2a83b95	label_changed
arthropoda-myriapoda-habitatmech-gold-2333d6225a	habitatmech:GOLD.2333d6225a	myriapod-associated environment	habitatmech:GOLD.2333d6225a	label_changed
ash-envo-02000090	ENVO:02000090	ash	habitatmech:BACDIVE.4b8650dee7	source_concepts_merged
astrogeological-gas-envo-01001155	ENVO:01001155	astrogeological gas	habitatmech:BACDIVE.3eec8fcfc4	source_concepts_merged
auricle-pinna-habitatmech-gold-a043efaa03	habitatmech:GOLD.a043efaa03	Auricle/Pinna	UBERON:0001757	source_concepts_merged
axilla-armpit-habitatmech-gold-383b9034af	habitatmech:GOLD.383b9034af	Axilla/Armpit	UBERON:0009472	source_concepts_merged
bacteria-habitatmech-gold-029baaef9e	habitatmech:GOLD.029baaef9e	bacterium-associated environment	habitatmech:GOLD.029baaef9e	label_changed
barramundi-foodon-03412872	FOODON:03412872	barramundi	habitatmech:GOLD.a12eda25e9	source_concepts_merged
beans-habitatmech-gold-effa0d6ca3	habitatmech:GOLD.effa0d6ca3	Beans	FOODON:00002753	source_concepts_merged
biological-habitatmech-gold-eeb3ba4bc5	habitatmech:GOLD.eeb3ba4bc5	Biological	ENVO:01000910	source_concepts_merged
birds-habitatmech-gold-47e603cf4f	habitatmech:GOLD.47e603cf4f	bird-associated environment	habitatmech:GOLD.47e603cf4f	label_changed
bladder-stone-ncit-c26707	NCIT:C26707	Urinary Bladder Stone	NCIT:C26707	label_changed
bovinae-cow-cattle-habitatmech-bacdive-a4a67c4a7f	habitatmech:BACDIVE.a4a67c4a7f	bovine-associated environment	habitatmech:BACDIVE.a4a67c4a7f	label_changed
brown-algae-habitatmech-gold-3e4ecbed63	habitatmech:GOLD.3e4ecbed63	brown-alga-associated environment	habitatmech:GOLD.3e4ecbed63	label_changed
burrow-envo-01000429	ENVO:01000429	burrow	ENVO:00005803	source_concepts_merged
caprinae-sheep-goat-habitatmech-bacdive-4d3086a839	habitatmech:BACDIVE.4d3086a839	caprine-associated environment	habitatmech:BACDIVE.4d3086a839	label_changed
catheter-ncit-c50344	NCIT:C50344	Catheter Device	NCIT:C50344	label_changed
central-oculomotor-nucleus-uberon-0002960	UBERON:0002960	central oculomotor nucleus	habitatmech:GOLD.5f6ed7c41e	source_concepts_merged
cerebellum-vermis-lobule-x-uberon-0004083	UBERON:0004083	cerebellum vermis lobule X	ENVO:01000164	source_concepts_merged
cerumen-earwax-habitatmech-gold-aea4a5fe91	habitatmech:GOLD.aea4a5fe91	Cerumen/Earwax	UBERON:0002297	source_concepts_merged
ceruminous-glands-habitatmech-gold-77cb05c27a	habitatmech:GOLD.77cb05c27a	Ceruminous glands	UBERON:0013211	source_concepts_merged
cnidaria-corals-habitatmech-bacdive-ef2153283d	habitatmech:BACDIVE.ef2153283d	Cnidaria-Corals	ENVO:01001179	source_concepts_merged
cnidaria-habitatmech-gold-00086e0958	habitatmech:GOLD.00086e0958	Cnidaria	ENVO:01001179	source_concepts_merged
cnidaria-habitatmech-gold-e3fede2aea	habitatmech:GOLD.e3fede2aea	Cnidaria	ENVO:01001179	source_concepts_merged
cow-milk-raw-foodon-03307455	FOODON:03307455	cow milk (raw)	habitatmech:GOLD.d750ff157a	source_concepts_merged
creek-ncit-c43963	NCIT:C43963	Creek	ENVO:00000029	source_concepts_merged
decomposing-plant-habitatmech-bacdive-5d6bbfabf0	habitatmech:BACDIVE.5d6bbfabf0	Decomposing-plant	ENVO:01000628	source_concepts_merged
echinoderm-foodon-03412115	FOODON:03412115	echinoderm	habitatmech:GOLD.e1f435d44b	source_concepts_merged
elastic-habitatmech-gold-d6c49dfec6	habitatmech:GOLD.d6c49dfec6	Elastic	UBERON:0001996	source_concepts_merged
embryo-uberon-0000922	UBERON:0000922	embryo	habitatmech:GOLD.9f162205a6	source_concepts_merged
environmental-zone-envo-01000408	ENVO:01000408	environmental zone	habitatmech:BACDIVE.0f1e92a02c|habitatmech:GOLD.c3fa7fc4c2	source_concepts_split
equidae-horse-habitatmech-bacdive-09c3544e85	habitatmech:BACDIVE.09c3544e85	equid-associated environment	habitatmech:BACDIVE.09c3544e85	label_changed
fen-habitatmech-gold-7aa9e7da9a	habitatmech:GOLD.7aa9e7da9a	Fen	ENVO:00000232	source_concepts_merged
fermented-meat-products-habitatmech-gold-5b7d7e2e70	habitatmech:GOLD.5b7d7e2e70	Fermented meat products	FOODON:00001314	source_concepts_merged
