bacdive_id	label	source_slug	strain_count	taxon_count
bacdive.isolation_source:host	Host	host	25581	6801
bacdive.isolation_source:environmental	Environmental	environmental	18454	9261
bacdive.isolation_source:terrestrial	Terrestrial	terrestrial	13182	5335
bacdive.isolation_source:human	Human	human	11697	2068
bacdive.isolation_source:infection	Infection	infection	8971	1903
bacdive.isolation_source:patient	Patient	patient	7992	1536
bacdive.isolation_source:engineered	Engineered	engineered	7174	3884
bacdive.isolation_source:aquatic	Aquatic	aquatic	6002	4788
bacdive.isolation_source:fluids	Fluids	fluids	6001	1359
bacdive.isolation_source:herbaceous-plants-grass,crops	Herbaceous-plants-Grass,Crops	herbaceous-plants-grass,crops	2451	1394
bacdive.isolation_source:feces-stool	Feces-Stool	feces-stool	2421	984
bacdive.isolation_source:condition	Condition	condition	2365	2084
bacdive.isolation_source:other	Other	other	2203	1013
bacdive.isolation_source:oral-cavity-and-airways	Oral-cavity-and-airways	oral-cavity-and-airways	2102	881
bacdive.isolation_source:marine	Marine	marine	2040	1805
bacdive.isolation_source:disease	Disease	disease	1799	663
bacdive.isolation_source:industrial	Industrial	industrial	1758	988
bacdive.isolation_source:food-production	Food-production	food-production	1197	792
bacdive.isolation_source:waste	Waste	waste	1140	891
bacdive.isolation_source:saline	Saline	saline	899	795
bacdive.isolation_source:tree	Tree	tree	872	481
bacdive.isolation_source:root-rhizome	Root-Rhizome	root-rhizome	647	373
bacdive.isolation_source:decomposing-plant	Decomposing-plant	decomposing-plant	625	126
bacdive.isolation_source:bovinae-cow,-cattle	Bovinae-Cow,-Cattle	bovinae-cow,-cattle	619	336
bacdive.isolation_source:sandy	Sandy	sandy	607	236
bacdive.isolation_source:invertebrates-other	Invertebrates-Other	invertebrates-other	596	507
bacdive.isolation_source:mud-sludge	Mud-Sludge	mud-sludge	540	441
bacdive.isolation_source:engineered-product	Engineered-product	engineered-product	526	378
bacdive.isolation_source:suidae-pig,swine	Suidae-Pig,Swine	suidae-pig,swine	521	300
bacdive.isolation_source:leaf-phyllosphere	Leaf-Phyllosphere	leaf-phyllosphere	500	231
bacdive.isolation_source:contamination	Contamination	contamination	474	398
bacdive.isolation_source:freshwater	Freshwater	freshwater	469	438
bacdive.isolation_source:medical-environment	Medical-environment	medical-environment	438	269
bacdive.isolation_source:timber	Timber	timber	425	62
bacdive.isolation_source:forest	Forest	forest	420	336
bacdive.isolation_source:caprinae-sheep/goat	Caprinae-Sheep/Goat	caprinae-sheep/goat	412	137
bacdive.isolation_source:cystic-fibrosis	Cystic-fibrosis	cystic-fibrosis	393	94
bacdive.isolation_source:geologic	Geologic	geologic	381	301
