bacdive_id	rank	taxon_id	taxon_label	strain_count
bacdive.isolation_source:abort	1	NCBITaxon:749	[Pasteurella] aerogenes	8
bacdive.isolation_source:abort	2	NCBITaxon:32020	Campylobacter fetus subsp. venerealis	5
bacdive.isolation_source:abort	3	NCBITaxon:28198	Aliarcobacter cryaerophilus	4
bacdive.isolation_source:abort	4	NCBITaxon:123820	[Actinobacillus] rossii	2
bacdive.isolation_source:abort	5	NCBITaxon:1014	Weeksella virosa	1
bacdive.isolation_source:abort	6	NCBITaxon:1017184	Camelimonas abortus	1
bacdive.isolation_source:abort	7	NCBITaxon:1032070	Aliarcobacter cryaerophilus ATCC 43158	1
bacdive.isolation_source:abort	8	NCBITaxon:1032240	Aliarcobacter thereius LMG 24486	1
bacdive.isolation_source:abort	9	NCBITaxon:1072256	Corynebacterium uterequi	1
bacdive.isolation_source:abort	10	NCBITaxon:108028	Arcanobacterium pluranimalium	1
bacdive.isolation_source:abort	11	NCBITaxon:1293442	Falsochrobactrum ovis	1
bacdive.isolation_source:abort	12	NCBITaxon:147802	Lactobacillus iners	1
bacdive.isolation_source:abort	13	NCBITaxon:156979	Pseudoglutamicibacter cumminsii	1
bacdive.isolation_source:abort	14	NCBITaxon:1642	Listeria innocua	1
bacdive.isolation_source:abort	15	NCBITaxon:1725	Corynebacterium xerosis	1
bacdive.isolation_source:abort	16	NCBITaxon:1737	Paraclostridium tenue	1
bacdive.isolation_source:abort	17	NCBITaxon:1960103	Listeria sp.	1
bacdive.isolation_source:abort	18	NCBITaxon:206	Campylobacter sputorum	1
bacdive.isolation_source:abort	19	NCBITaxon:28200	Aliarcobacter skirrowii	1
bacdive.isolation_source:abort	20	NCBITaxon:445930	Trueperella abortisuis	1
bacdive.isolation_source:abort	21	NCBITaxon:50960	Helicobacter trogontum	1
bacdive.isolation_source:abort	22	NCBITaxon:83554	Chlamydia psittaci	1
bacdive.isolation_source:abort	23	NCBITaxon:83555	Chlamydia abortus	1
bacdive.isolation_source:abort	24	NCBITaxon:88874	Luteococcus peritonei	1
bacdive.isolation_source:air-conditioner	1	NCBITaxon:409	Methylobacterium sp.	5
bacdive.isolation_source:air-conditioner	2	NCBITaxon:28214	Sphingomonas sp.	2
bacdive.isolation_source:air-conditioner	3	NCBITaxon:1122167	Legionella quinlivanii DSM 21216	1
bacdive.isolation_source:air-conditioner	4	NCBITaxon:1899569	Spirosoma sp.	1
bacdive.isolation_source:air-conditioner	5	NCBITaxon:2024	Thermoactinomyces intermedius	1
bacdive.isolation_source:air-conditioner	6	NCBITaxon:2026	Thermoactinomyces vulgaris	1
bacdive.isolation_source:air-conditioner	7	NCBITaxon:2133958	Nocardioides currus	1
bacdive.isolation_source:air-conditioner	8	NCBITaxon:34073	Variovorax paradoxus	1
bacdive.isolation_source:air-conditioner	9	NCBITaxon:341027	Sphingobacterium sp.	1
bacdive.isolation_source:air-conditioner	10	NCBITaxon:413712	Sphingomonas pseudosanguinis	1
bacdive.isolation_source:air-conditioner	11	NCBITaxon:594679	Allofrancisella guangzhouensis	1
bacdive.isolation_source:airways	1	NCBITaxon:287	Pseudomonas aeruginosa	12
bacdive.isolation_source:airways	2	NCBITaxon:43769	Corynebacterium propinquum	3
bacdive.isolation_source:airways	3	NCBITaxon:562	Escherichia coli	3
bacdive.isolation_source:airways	4	NCBITaxon:90241	Lwoffella lincolnii	2
bacdive.isolation_source:airways	5	NCBITaxon:1069221	Mycolicibacillus parakoreensis	1
bacdive.isolation_source:airways	6	NCBITaxon:1089453	Gordonia sputi NBRC 100414	1
bacdive.isolation_source:airways	7	NCBITaxon:110505	Mycobacterium heckeshornense	1
bacdive.isolation_source:airways	8	NCBITaxon:1111729	Corynebacterium sputi DSM 45148	1
bacdive.isolation_source:airways	9	NCBITaxon:1121367	Corynebacterium propinquum DSM 44285	1
bacdive.isolation_source:airways	10	NCBITaxon:1122243	Moraxella boevrei DSM 14165	1
bacdive.isolation_source:airways	11	NCBITaxon:1122244	Moraxella caprae DSM 19149	1
bacdive.isolation_source:airways	12	NCBITaxon:1122248	Mycoplasmopsis gallinarum DSM 19816	1
bacdive.isolation_source:airways	13	NCBITaxon:1122935	Alitibacter langaaensis DSM 22999	1
bacdive.isolation_source:airways	14	NCBITaxon:1210091	Nocardia ninae NBRC 108245	1
bacdive.isolation_source:airways	15	NCBITaxon:1215110	Pseudomonas monteilii NBRC 103158 = DSM 14164	1
bacdive.isolation_source:airways	16	NCBITaxon:1215116	Ectopseudomonas oleovorans NBRC 14167	1
bacdive.isolation_source:airways	17	NCBITaxon:123822	[Haemophilus] felis	1
bacdive.isolation_source:airways	18	NCBITaxon:1267002	Mycoplasmoides gallisepticum ATCC 19610	1
bacdive.isolation_source:airways	19	NCBITaxon:1431546	Corynebacterium aquilae DSM 44791	1
bacdive.isolation_source:airways	20	NCBITaxon:144550	Mycolicibacterium fortuitum subsp. acetamidolyticum	1
bacdive.isolation_source:airways	21	NCBITaxon:1553448	Falsigemmobacter intermedius	1
