main_group	env_type	cobo_simon_habitat	parameter	value	term_ids	term_labels
Aquatic	sediment	NA	Structural	medium	ENVO:00002007	sediment
Aquatic	sediment	NA	Water	high	ENVO:00002007	sediment
Aquatic	sediment	NA	salinity variability	small	ENVO:00002007	sediment
Aquatic	sediment	NA	water variability	permanently wet	ENVO:00002007	sediment
Aquatic	sediment_brackish	NA	Gradients	high	ENVO:00002007|ENVO:00002019	sediment|brackish water
Aquatic	sediment_brackish	NA	Pressure	low	ENVO:00002007|ENVO:00002019	sediment|brackish water
Aquatic	sediment_brackish	NA	Salinity	medium	ENVO:00002007|ENVO:00002019	sediment|brackish water
Aquatic	sediment_brackish	NA	Structural	medium	ENVO:00002007|ENVO:00002019	sediment|brackish water
Aquatic	sediment_brackish	NA	Water	high	ENVO:00002007|ENVO:00002019	sediment|brackish water
Aquatic	sediment_brackish	NA	pH	medium	ENVO:00002007|ENVO:00002019	sediment|brackish water
Aquatic	sediment_brackish	NA	salinity variability	wide	ENVO:00002007|ENVO:00002019	sediment|brackish water
Aquatic	sediment_brackish	NA	temp variability	low	ENVO:00002007|ENVO:00002019	sediment|brackish water
Aquatic	sediment_brackish	NA	water variability	permanently wet	ENVO:00002007|ENVO:00002019	sediment|brackish water
Aquatic	sediment_brackish_cold	NA	Gradients	high	ENVO:00002007|ENVO:00002019|PATO:0001306	sediment|brackish water|reduced temperature
Aquatic	sediment_brackish_cold	NA	Pressure	low	ENVO:00002007|ENVO:00002019|PATO:0001306	sediment|brackish water|reduced temperature
Aquatic	sediment_brackish_cold	NA	Salinity	medium	ENVO:00002007|ENVO:00002019|PATO:0001306	sediment|brackish water|reduced temperature
Aquatic	sediment_brackish_cold	NA	Structural	medium	ENVO:00002007|ENVO:00002019|PATO:0001306	sediment|brackish water|reduced temperature
Aquatic	sediment_brackish_cold	NA	Temperature	low	ENVO:00002007|ENVO:00002019|PATO:0001306	sediment|brackish water|reduced temperature
Aquatic	sediment_brackish_cold	NA	Water	high	ENVO:00002007|ENVO:00002019|PATO:0001306	sediment|brackish water|reduced temperature
