canonical_path	ecosystem	ecosystem_category	ecosystem_type	ecosystem_subtype	specific_ecosystem	leaf_label	depth	gold_node_count	organism_count	study_count	biosample_count	total_assertions	gold_node_ids
Host-associated > Mammals: Human	Host-associated	Mammals: Human				Mammals: Human	2	4	40432	0	0	40432	gold.ecosystem:3381|gold.ecosystem:3593|gold.ecosystem:3699|gold.ecosystem:4138
Environmental > Terrestrial > Soil	Environmental	Terrestrial	Soil			Soil	3	3	26399	0	0	26399	gold.ecosystem:3496|gold.ecosystem:3810|gold.ecosystem:4212
Host-associated > Mammals: Human > Digestive system > Large intestine > Fecal	Host-associated	Mammals: Human	Digestive system	Large intestine	Fecal	Fecal	5	1	13744	0	0	13744	gold.ecosystem:3920
Host-associated > Plants	Host-associated	Plants				Plants	2	4	12638	0	0	12638	gold.ecosystem:3385|gold.ecosystem:3605|gold.ecosystem:3723|gold.ecosystem:3938
Environmental > Terrestrial	Environmental	Terrestrial				Terrestrial	2	4	9030	0	0	9030	gold.ecosystem:2882|gold.ecosystem:3493|gold.ecosystem:3805|gold.ecosystem:4198
Host-associated > Mammals: Human > Circulatory system > Blood	Host-associated	Mammals: Human	Circulatory system	Blood		Blood	4	2	7375	0	0	7375	gold.ecosystem:3693|gold.ecosystem:3932
Environmental > Aquatic > Marine	Environmental	Aquatic	Marine			Marine	3	3	6420	0	0	6420	gold.ecosystem:3487|gold.ecosystem:3768|gold.ecosystem:4003
Host-associated > Mammals	Host-associated	Mammals				Mammals	2	4	6104	0	0	6104	gold.ecosystem:3379|gold.ecosystem:3579|gold.ecosystem:3669|gold.ecosystem:4118
Host-associated > Mammals: Human > Respiratory system > Pharynx/Throat > Nasopharynx	Host-associated	Mammals: Human	Respiratory system	Pharynx/Throat	Nasopharynx	Nasopharynx	5	1	5080	0	0	5080	gold.ecosystem:6103
Environmental > Terrestrial > Soil > Garden	Environmental	Terrestrial	Soil	Garden		Garden	4	2	5014	0	0	5014	gold.ecosystem:5773|gold.ecosystem:5774
Host-associated > Mammals > Digestive system > Foregut > Rumen	Host-associated	Mammals	Digestive system	Foregut	Rumen	Rumen	5	1	4989	0	0	4989	gold.ecosystem:7512
Host-associated > Mammals: Human > Respiratory system > Sputum/Phlegm	Host-associated	Mammals: Human	Respiratory system	Sputum/Phlegm		Sputum/Phlegm	4	2	4968	0	0	4968	gold.ecosystem:5008|gold.ecosystem:5009
Environmental > Aquatic > Marine > Pelagic zone	Environmental	Aquatic	Marine	Pelagic zone		Pelagic zone	4	2	4877	0	0	4877	gold.ecosystem:3771|gold.ecosystem:4021
Host-associated > Mammals > Digestive system > Large intestine > Fecal	Host-associated	Mammals	Digestive system	Large intestine	Fecal	Fecal	5	1	4785	0	0	4785	gold.ecosystem:4104
Engineered > Food production	Engineered	Food production				Food production	2	4	4402	0	0	4402	gold.ecosystem:2885|gold.ecosystem:3502|gold.ecosystem:3823|gold.ecosystem:4250
Environmental > Aquatic	Environmental	Aquatic				Aquatic	2	4	4203	0	0	4203	gold.ecosystem:2881|gold.ecosystem:3483|gold.ecosystem:3757|gold.ecosystem:3984
