canonical_path	ecosystem_path_id	biosample_count
Host-associated > Mammals: Human > Digestive system > Large intestine > Fecal	3920	40020
Host-associated > Plants > Roots > Rhizosphere	5301	9076
Environmental > Terrestrial > Soil	4212	6882
Environmental > Aquatic > Freshwater > Lake	4179	6675
Host-associated > Mammals > Digestive system > Large intestine > Fecal	4104	6355
Host-associated > Plants > Roots	4466	5349
Environmental > Aquatic > Marine	4003	5248
Environmental > Aquatic > Marine > Oceanic	4008	5061
Environmental > Terrestrial > Soil > Agricultural land	4213	4460
Environmental > Terrestrial > Soil > Agricultural land > Bulk soil	5861	4306
Environmental > Aquatic > Marine > Coastal	4044	4109
Environmental > Terrestrial > Soil > Grasslands	4209	3943
Host-associated > Plants > Phyllosphere > Phylloplane/Leaf	5269	3085
Host-associated > Plants > Roots > Rhizosphere > Soil	5302	2860
Environmental > Aquatic > Freshwater > River	4512	2783
Environmental > Terrestrial > Soil > Temperate forest > Bulk soil	6005	2572
Environmental > Aquatic > Deep subsurface > Groundwater	5954	2211
Engineered > Built environment > Hospital > Hospital bedroom > Room surface	5490	1660
Environmental > Aquatic > Freshwater > Lake > Sediment	4426	1445
Environmental > Aquatic > Freshwater	4159	1365
Environmental > Air > Outdoor Air	3962	1288
Environmental > Aquatic > Marine > Inlet	4574	1278
Host-associated > Mammals: Human > Integumentary system > Skin	6116	1274
Environmental > Aquatic > Thermal springs > Hot (42-90C) > Sediment	3997	1273
Host-associated > Mammals: Human > Digestive system > Oral cavity > Saliva	3907	1226
Engineered > Wastewater > Sewage	4662	1139
Environmental > Terrestrial > Soil > Wetlands > Peat	7675	1097
Host-associated > Mammals > Digestive system > Stomach > Rumen fluid	6389	1097
Host-associated > Mammals: Human > Integumentary system > Skin > Skin surface	6115	1076
Environmental > Aquatic > Marine > Epipelagic	5331	1058
Environmental > Aquatic > Freshwater > Creek	4514	1035
Engineered > Built environment > City > Subway > Metal surface	5462	1022
Host-associated > Fungi > Mycelium	4463	1003
Host-associated > Mammals > Digestive system > Stomach > Rumen	4111	952
Environmental > Aquatic > Thermal springs > Hot (42-90C) > Microbial mats	4655	928
