canonical_path	slot	samples	studies	distinct_terms	top_term	top_label	top_share	studies_agreeing
Engineered > Artificial ecosystem > Aquaculture > Algae raceway pond	broad	4	1	1	ENVO:00000873	freshwater biome	1.00	1
Engineered > Artificial ecosystem > Aquaculture > Algae raceway pond	local	4	1	1	ENVO:03600047	raceway pond	1.00	1
Engineered > Artificial ecosystem > Aquaculture > Algae raceway pond	medium	4	1	1	ENVO:01000063	planktonic material	1.00	1
Engineered > Artificial ecosystem > Aquaculture > Crustaceans pond > Sediment	broad	1	1	1	ENVO:03600074	aquaculture farm	1.00	1
Engineered > Artificial ecosystem > Aquaculture > Crustaceans pond > Sediment	local	1	1	1	ENVO:00000033	pond	1.00	1
Engineered > Artificial ecosystem > Aquaculture > Crustaceans pond > Sediment	medium	1	1	1	ENVO:00002007	sediment	1.00	1
Engineered > Artificial ecosystem > Mesocosm > Lake water	broad	78	2	2	ENVO:01000252	freshwater lake biome	0.99	1
Engineered > Artificial ecosystem > Mesocosm > Lake water	local	78	2	2	ENVO:00000021	freshwater lake	0.99	1
Engineered > Artificial ecosystem > Mesocosm > Lake water	medium	78	2	2	ENVO:04000007	lake water	0.99	1
Engineered > Artificial ecosystem > Mesocosm > Lake water > Sieved	broad	7	1	1	ENVO:01000219	anthropogenic terrestrial biome	1.00	1
Engineered > Artificial ecosystem > Mesocosm > Lake water > Sieved	local	7	1	1	ENVO:01000620	mesocosm	1.00	1
Engineered > Artificial ecosystem > Mesocosm > Lake water > Sieved	medium	7	1	1	ENVO:00002011	fresh water	1.00	1
Engineered > Artificial ecosystem > Mesocosm > Soil	broad	21	1	1	ENVO:00000446	terrestrial biome	1.00	1
Engineered > Artificial ecosystem > Mesocosm > Soil	local	21	1	1	ENVO:00000083	hill	1.00	1
Engineered > Artificial ecosystem > Mesocosm > Soil	medium	21	1	1	ENVO:00001998	soil	1.00	1
Engineered > Artificial ecosystem > Plant growth chamber > Soil	broad	20	1	1	ENVO:00000446	terrestrial biome	1.00	1
Engineered > Artificial ecosystem > Plant growth chamber > Soil	local	20	1	1	ENVO:01000621	microcosm	1.00	1
Engineered > Artificial ecosystem > Plant growth chamber > Soil	medium	20	1	1	ENVO:00001998	soil	1.00	1
Engineered > Artificial ecosystem > Sand microcosm	broad	24	2	2	ENVO:01000253	freshwater river biome	0.71	1
Engineered > Artificial ecosystem > Sand microcosm	local	24	2	2	ENVO:01000621	microcosm	0.71	1
Engineered > Artificial ecosystem > Sand microcosm	medium	24	2	2	ENVO:01000017	sand	0.71	1
Engineered > Artificial ecosystem > Soil microcosm	broad	24	3	1	ENVO:00000446	terrestrial biome	1.00	3
Engineered > Artificial ecosystem > Soil microcosm	local	24	3	3	ENVO:00005801	rhizosphere	0.71	1
Engineered > Artificial ecosystem > Soil microcosm	medium	24	3	1	ENVO:00001998	soil	1.00	3
Engineered > Artificial ecosystem > Soil microcosm > Contaminated soil > Hydrocarbon	broad	1	1	1	ENVO:01000219	anthropogenic terrestrial biome	1.00	1
Engineered > Artificial ecosystem > Soil microcosm > Contaminated soil > Hydrocarbon	local	1	1	1	ENVO:00002124	anaerobic bioreactor	1.00	1
Engineered > Artificial ecosystem > Soil microcosm > Contaminated soil > Hydrocarbon	medium	1	1	1	ENVO:00002116	contaminated soil	1.00	1
Engineered > Artificial ecosystem > Soil microcosm > Surface biofilm	broad	24	1	1	ENVO:00000446	terrestrial biome	1.00	1
Engineered > Artificial ecosystem > Soil microcosm > Surface biofilm	local	24	1	1	ENVO:01001785	land	1.00	1
Engineered > Artificial ecosystem > Soil microcosm > Surface biofilm	medium	24	1	1	ENVO:01000156	biofilm material	1.00	1
Engineered > Artificial ecosystem > Water microcosm	broad	14	1	1	ENVO:01000252	freshwater lake biome	1.00	1
Engineered > Artificial ecosystem > Water microcosm	local	14	1	1	ENVO:00000021	freshwater lake	1.00	1
Engineered > Artificial ecosystem > Water microcosm	medium	14	1	1	ENVO:04000007	lake water	1.00	1
Engineered > Bioreactor > Aerobic > Activated sludge	broad	17	1	1	ENVO:01000249	urban biome	1.00	1
Engineered > Bioreactor > Aerobic > Activated sludge	local	17	1	1	ENVO:00002123	bioreactor	1.00	1
Engineered > Bioreactor > Aerobic > Activated sludge	medium	17	1	1	ENVO:00002059	biosolids	1.00	1
Engineered > Bioreactor > Anaerobic	broad	21	1	1	ENVO:01000253	freshwater river biome	1.00	1
Engineered > Bioreactor > Anaerobic	local	21	1	1	ENVO:00000022	river	1.00	1
Engineered > Bioreactor > Anaerobic	medium	21	1	1	ENVO:00002007	sediment	1.00	1
Engineered > Bioreactor > Anaerobic > Sludge	broad	9	1	1	ENVO:01000249	urban biome	1.00	1
Engineered > Bioreactor > Anaerobic > Sludge	local	9	1	1	ENVO:00002124	anaerobic bioreactor	1.00	1
Engineered > Bioreactor > Anaerobic > Sludge	medium	9	1	1	ENVO:00002129	anaerobic sludge	1.00	1
Engineered > Bioreactor > Denitrification > Woodchip Bioreactor (WBR) > Woodchip biofilm	broad	1	1	1	ENVO:01000313	anthropogenic environment	1.00	1
Engineered > Bioreactor > Denitrification > Woodchip Bioreactor (WBR) > Woodchip biofilm	local	1	1	1	ENVO:00002123	bioreactor	1.00	1
Engineered > Bioreactor > Denitrification > Woodchip Bioreactor (WBR) > Woodchip biofilm	medium	1	1	1	ENVO:00002034	biofilm	1.00	1
Engineered > Bioreactor > EBPR > Anaerobic-Aerobic > Sludge	broad	1	1	1	ENVO:01000249	urban biome	1.00	1
Engineered > Bioreactor > EBPR > Anaerobic-Aerobic > Sludge	local	1	1	1	ENVO:00002059	biosolids	1.00	1
Engineered > Bioreactor > EBPR > Anaerobic-Aerobic > Sludge	medium	1	1	1	ENVO:00002123	bioreactor	1.00	1
Engineered > Bioreactor > Microbial fuel cells/MFC > Anode > Biofilm	broad	1	1	1	ENVO:01000313	anthropogenic environment	1.00	1
Engineered > Bioreactor > Microbial fuel cells/MFC > Anode > Biofilm	local	1	1	1	ENVO:00002123	bioreactor	1.00	1
Engineered > Bioreactor > Microbial fuel cells/MFC > Anode > Biofilm	medium	1	1	1	ENVO:00002034	biofilm	1.00	1
