study_gold_id	path_count	paths
Gs0000001	1	Host-associated > Fungi > Mycelium
Gs0000103	2	Engineered > Solid waste > Bio- and green waste (BGW) > Composting|Engineered > Solid waste > Green waste > Composting
Gs0003616	1	Environmental > Aquatic > Freshwater > Sediment
Gs0003668	1	Engineered > Modeled > Simulated communities (microbial mixture)
Gs0011981	3	Host-associated > Fungi > Mycelium|Host-associated > Plants > Phyllosphere|Host-associated > Plants > Phyllosphere > Phylloplane/Leaf
Gs0014612	1	Environmental > Terrestrial > Soil > Temperate forest > Bulk soil
Gs0015260	1	Host-associated > Microbial > Bacteria
Gs0017323	1	Host-associated > Fungi > Lichen
Gs0017769	2	Environmental > Aquatic > Freshwater > Wetlands > Sediment|Environmental > Aquatic > Marine > Wetlands > Sediment
Gs0019084	1	Environmental > Aquatic > Marine > Oceanic
Gs0019863	2	Host-associated > Algae > Red algae|Host-associated > Algae > Red algae > Blade
Gs0033970	1	Host-associated > Mammals > Digestive system > Stomach > Rumen
Gs0034306	2	Host-associated > Annelida|Host-associated > Annelida > Digestive system
Gs0045009	2	Engineered > WWTP > Activated sludge|Engineered > Wastewater > Nutrient removal > Biological phosphorus removal > Bioreactor
Gs0045062	1	Host-associated > Mammals > Digestive system > Large intestine > Cecum
Gs0045077	1	Environmental > Terrestrial > Soil
Gs0045078	1	Host-associated > Birds > Digestive system > Large intestine > Ceca
Gs0045079	1	Host-associated > Mammals > Digestive system > Stomach > Rumen
Gs0045083	1	Environmental > Aquatic > Marine > Fjord
Gs0045084	2	Host-associated > Fish > Digestive system > Intestine|Host-associated > Fish > Integumentary system > Skin > Epidermal mucus
Gs0045085	2	Environmental > Aquatic > Non-marine Saline and Alkaline > Salt crystallizer ponds > Microbial mats|Environmental > Aquatic > Non-marine Saline and Alkaline > Salt crystallizer ponds > Saline water
Gs0045086	3	Environmental > Aquatic > Aquaculture|Environmental > Aquatic > Freshwater > Lentic|Environmental > Aquatic > Freshwater > Lentic > Limnetic zone
Gs0045133	1	Environmental > Aquatic > Freshwater > Lentic
Gs0045171	1	Environmental > Aquatic > Thermal springs > Warm (34-42C) > Neutral
Gs0045187	1	Environmental > Aquatic > Marine
Gs0045192	1	Environmental > Aquatic > Thermal springs > Hot (42-90C)
Gs0045205	1	Environmental > Terrestrial > Rock-dwelling (subaerial biofilms)
Gs0045212	2	Environmental > Aquatic > Thermal springs > Hot (42-90C)|Environmental > Aquatic > Thermal springs > Hot (42-90C) > Microbial mats
Gs0045231	1	Environmental > Aquatic > Non-marine Saline and Alkaline > Hypersaline
Gs0045248	2	Engineered > Solid waste > Grass > Composting > Bioreactor|Environmental > Terrestrial > Soil > Tropical rainforest
Gs0045251	2	Environmental > Aquatic > Freshwater > Groundwater|Environmental > Aquatic > Freshwater > Groundwater > Coalbed water
Gs0045254	1	Engineered > Wastewater > Nutrient removal > Nitrogen removal > Anammox
Gs0045295	2	Engineered > Bioremediation > Tetrachloroethylene and derivatives > Chloroethene > Bioreactor|Environmental > Terrestrial > Soil > Loam > Contaminated
Gs0045297	2	Environmental > Aquatic > Thermal springs > Hot (42-90C)|Environmental > Aquatic > Thermal springs > Hot (42-90C) > Acidic
Gs0045309	1	Environmental > Aquatic > Marine > Oceanic
Gs0045310	2	Environmental > Terrestrial > Nest > Insects nest > Fungus garden/Fungus gallery|Environmental > Terrestrial > Nest > Insects nest > Nest dump
Gs0045311	1	Environmental > Aquatic > Marine > Oceanic > Sediment
Gs0045327	1	Host-associated > Arthropoda: Insects > Digestive system > Hindgut > Paunch/P3 segment
Gs0045332	1	Host-associated > Arthropoda: Insects > Digestive system > Hindgut > Paunch/P3 segment
Gs0045353	1	Host-associated > Protists > Dinoflagellates
Gs0045377	1	Host-associated > Arthropoda: Crustaceans > Whole body
Gs0045378	1	Environmental > Aquatic > Marine > Oceanic > Photic zone
Gs0045390	1	Environmental > Terrestrial > Soil > Loam > Contaminated
Gs0045395	1	Host-associated > Mammals > Digestive system > Large intestine > Fecal
Gs0045396	1	Host-associated > Protists > Excavata > Parabasalids > Anaerobic
Gs0045398	2	Environmental > Terrestrial > Soil > Agricultural land > Bulk soil|Host-associated > Plants > Roots > Rhizosphere > Soil
Gs0045401	1	Host-associated > Mammals: Human > Digestive system > Large intestine > Fecal
Gs0045405	1	Host-associated > Mammals: Human > Digestive system > Large intestine > Fecal
Gs0045457	1	Host-associated > Mammals > Digestive system > Large intestine > Fecal
Gs0045458	1	Environmental > Aquatic > Freshwater > Groundwater > Cave water
Gs0045460	1	Environmental > Aquatic > Freshwater > Ice > Glacier
Gs0045481	1	Environmental > Aquatic > Marine > Oceanic > Photic zone
Gs0045482	3	Engineered > Wastewater > Nutrient removal > Dissolved organics (aerobic) > Activated sludge|Engineered > Wastewater > Nutrient removal > Dissolved organics (anaerobic)|Engineered > Wastewater > Nutrient removal > Dissolved organics (anaerobic) > Activated sludge
Gs0045483	2	Environmental > Aquatic > Marine > Neritic zone/Coastal water|Environmental > Aquatic > Marine > Neritic zone/Coastal water > Sediment
Gs0045485	1	Environmental > Aquatic > Thermal springs > Hot (42-90C) > Sediment
Gs0045486	1	Environmental > Aquatic > Marine > Archipelago > Sediment
Gs0045514	1	Environmental > Terrestrial > Nest > Insects nest > Fungus garden/Fungus gallery
Gs0045515	1	Environmental > Terrestrial > Nest > Insects nest > Fungus garden/Fungus gallery
Gs0045516	1	Environmental > Terrestrial > Nest > Insects nest > Fungus garden/Fungus gallery
Gs0045518	1	Environmental > Terrestrial > Nest > Insects nest > Fungus garden/Fungus gallery
Gs0045521	1	Environmental > Terrestrial > Nest > Insects nest > Fungus garden/Fungus gallery
Gs0045522	1	Host-associated > Arthropoda: Insects > Whole body
Gs0045526	1	Host-associated > Arthropoda: Insects > Digestive system > Gut
Gs0045532	1	Host-associated > Arthropoda: Insects > Digestive system > Gut
Gs0045552	1	Environmental > Aquatic > Freshwater > Lentic
Gs0045553	1	Engineered > Bioremediation > Tetrachloroethylene and derivatives > Tetrachloroethylene > Bioreactor
