subject_label	subject_label_normalized	object_id	object_label	object_source	predicate_id	confidence	mapping_justification	curator	source_dataset	verified_date
Abdomen	abdomen	UBERON:0000916	abdomen	UBERON	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive	2026-05-01
Abort	abort							codex_review_fix_v2	bacdive	2026-05-02
Abscess	abscess	mesh:D000038	Abscess	mesh	skos:exactMatch	high	semapv:ManualMappingCuration	family_mismatch_fix	bacdive	2026-05-02
Acidic	acidic	PATO:0001429	acidic	PATO	skos:exactMatch	high	semapv:ManualMappingCuration	family_mismatch_fix	bacdive	2026-05-05
Activated-sludge	activated sludge	ENVO:00002046	activated sludge	ENVO	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive	2026-05-01
Agriculture	agriculture	ENVO:01001442	agriculture	ENVO	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive	2026-05-01
Air	air	ENVO:00002005	air	ENVO	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive	2026-05-01
Air-conditioner	air conditioner							codex_review_fix	bacdive	2026-05-02
Airways	airways	UBERON:0001005	respiratory airway	UBERON	skos:closeMatch	medium	semapv:LexicalMatching	ols4_search_synonym	bacdive	2026-05-01
Algae	algae	FOODON:03411301	algae	FOODON	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive	2026-05-01
Alkaline	alkaline	PATO:0001430	alkaline	PATO	skos:exactMatch	high	semapv:ManualMappingCuration	family_mismatch_fix	bacdive	2026-05-05
Alpine	alpine	ENVO:01000340	alpine	ENVO	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive	2026-05-01
Amniotic-fluid	amniotic fluid	UBERON:0000173	amniotic fluid	UBERON	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive	2026-05-01
Amphibia	amphibia	NCBITaxon:8292	Amphibia	NCBITaxon	skos:exactMatch	high	semapv:LexicalMatching	ols4_auto	bacdive	2026-05-01
Anaerobic-digestor	anaerobic digestor							codex_review_fix	bacdive	2026-05-02
