madin_id	taxon_id	taxon_label	corroborated_by
CHEBI:24632	NCBITaxon:1045855	Pseudoxanthomonas spadix BD-a59	
CHEBI:24632	NCBITaxon:1074493	Sphingobium yanoikuyae XLDN2-5	
CHEBI:24632	NCBITaxon:1096243	Idiomarina piscisalsi	
CHEBI:24632	NCBITaxon:1114960	Rhodococcus pyridinivorans AK37	
CHEBI:24632	NCBITaxon:1120977	Alkanindiges illinoisensis DSM 15370	
CHEBI:24632	NCBITaxon:1123258	Smaragdicoccus niigatensis DSM 44881	
CHEBI:24632	NCBITaxon:1129896	Rhodococcus opacus M213	
CHEBI:24632	NCBITaxon:1193501	Pseudomonas aeruginosa SJTD-1	
CHEBI:24632	NCBITaxon:1194669	Pseudomonas aeruginosa N002	
CHEBI:24632	NCBITaxon:1215103	Pseudomonas indica NBRC 103045	
CHEBI:24632	NCBITaxon:1223527	Microbacterium hydrocarbonoxydans NBRC 103074	
CHEBI:24632	NCBITaxon:1286170	Raoultella ornithinolytica B6	
CHEBI:24632	NCBITaxon:129338	geobacillus_subterraneus	
CHEBI:24632	NCBITaxon:1308924	agromyces_bauzanensis	
CHEBI:24632	NCBITaxon:1316928	Gordonia terrae C-6	
CHEBI:24632	NCBITaxon:1326758	Morganella sp. GLFB	
CHEBI:24632	NCBITaxon:1326759	Serratia sp. GLFA	
CHEBI:24632	NCBITaxon:134962	nocardia_soli	
CHEBI:24632	NCBITaxon:1380771	Smithella sp. ME-1	
CHEBI:24632	NCBITaxon:1404341	sphingobium_scionense	
CHEBI:24632	NCBITaxon:1408	Bacillus pumilus	
CHEBI:24632	NCBITaxon:1408207	Pseudomonas aeruginosa PK6	
CHEBI:24632	NCBITaxon:1423	Bacillus subtilis	
CHEBI:24632	NCBITaxon:1545728	Mycobacterium sp. EPa45	
CHEBI:24632	NCBITaxon:1652545	Arthrobacter sp. YC-RL1	
CHEBI:33290	NCBITaxon:1046593	Leuconostoc carnosum KCTC 3525	BACDIVE
CHEBI:33290	NCBITaxon:1367848	Cronobacter sakazakii NCIMB 8272	BACDIVE
CHEBI:33290	NCBITaxon:1402	bacillus_licheniformis	BACDIVE
CHEBI:33290	NCBITaxon:164393	Lactobacillus fuchuensis	BACDIVE
CHEBI:33290	NCBITaxon:214326	Lactobacillus sakei subsp. sakei	BACDIVE
CHEBI:33290	NCBITaxon:2751	Carnobacterium maltaromaticum	BACDIVE
CHEBI:33290	NCBITaxon:373672	chryseobacterium_gambrini	BACDIVE
CHEBI:33290	NCBITaxon:569	enterobacter_hafniae	BACDIVE
CHEBI:33290	NCBITaxon:685706	yersinia_nurmii	BACDIVE
