madin_id	vocabulary	label	taxon_count
bacdive.isolation_source:host_animal_endotherm	bacdive.isolation_source	host_animal_endotherm	5130
ENVO:00001998	ENVO	soil	2934
ENVO:2100002	ENVO	intestine environment	1963
UBERON:0000468	UBERON	multicellular organism	1249
ENVO:00002149	ENVO	sea water	1211
ENVO:01001001	ENVO	plant-associated environment	1206
bacdive.isolation_source:host_animal_ectotherm	bacdive.isolation_source	host_animal_ectotherm	999
CHEBI:33290	CHEBI	food	851
ENVO:03000033	ENVO	marine sediment	837
UBERON:0000065	UBERON	respiratory tract	735
ENVO:00002011	ENVO	fresh water	645
ENVO:08000002	ENVO	mouth environment	608
ENVO:00002001	ENVO	waste water	524
ENVO:00002007	ENVO	sediment	523
UBERON:0000178	UBERON	blood	440
ENVO:00002012	ENVO	hypersaline water	416
ENVO:2100003	ENVO	skin environment	372
ENVO:00000051	ENVO	hot spring	371
bacdive.isolation_source:host_animal_endotherm_intratissue	bacdive.isolation_source	host_animal_endotherm_intratissue	341
ENVO:01001004	ENVO	groundwater	331
ENVO:00002006	ENVO	liquid water	312
UBERON:0000996	UBERON	vagina	304
ENVO:01000306	ENVO	freshwater environment	255
ENVO:00002123	ENVO	bioreactor	232
ENVO:00000215	ENVO	hydrothermal vent	229
ENVO:00001995	ENVO	rock	190
bacdive.isolation_source:food_fermented	bacdive.isolation_source	food_fermented	173
ENVO:00000073	ENVO	building	162
ENVO:02500038	ENVO	soil pollution	161
ENVO:00002044	ENVO	sludge	153
ENVO:01001029	ENVO	fecal environment	146
ENVO:01001002	ENVO	animal-associated environment	144
bacdive.isolation_source:host_animal_endotherm_rumen	bacdive.isolation_source	host_animal_endotherm_rumen	132
ENVO:00002259	ENVO	agricultural soil	117
ENVO:00002170	ENVO	compost	112
ENVO:00002984	ENVO	petroleum	99
ENVO:02500019	ENVO	alga	88
PO:0025034	PO	leaf	77
UBERON:0001913	UBERON	milk	70
ENVO:00002261	ENVO	forest soil	67
ENVO:00002019	ENVO	brackish water	64
CHEBI:24632	CHEBI	hydrocarbon	59
ENVO:01000230	ENVO	arid	53
ENVO:01000164	ENVO	root nodule	40
ENVO:00002034	ENVO	biofilm	39
ENVO:01001041	ENVO	fungi-associated environment	38
ENVO:00005750	ENVO	grassland soil	35
ENVO:01000256	ENVO	mineral material	32
ENVO:01001040	ENVO	saline environment	29
ENVO:00000247	ENVO	volcano	28
ENVO:00005774	ENVO	peat soil	27
ENVO:00000134	ENVO	permafrost	25
ENVO:01000357	ENVO	alkaline water	23
ENVO:00002113	ENVO	deep marine sediment	19
ENVO:01000628	ENVO	plant litter	19
ENVO:00000035	ENVO	marsh	9
FOODON:03420174	FOODON	part of plant	4
UBERON:0002049	UBERON	vasculature	4
