prego_id	rank	taxon_id	taxon_label	prego_score	direct_flag	channels	corroborated_by
BTO:0000018	1	NCBITaxon:1194085	Staphylococcus aureus subsp. aureus SA40	3	TRUE	annotated_genomes_isolates	
BTO:0000018	2	NCBITaxon:1201010	Staphylococcus aureus subsp. aureus SA957	3	TRUE	annotated_genomes_isolates	
BTO:0000020	1	NCBITaxon:1125980	Vibrio harveyi CAIM 1792	3	TRUE	annotated_genomes_isolates	
BTO:0000025	1	NCBITaxon:2098	Metamycoplasma hominis	3	TRUE	annotated_genomes_isolates	
BTO:0000047	1	NCBITaxon:243365	Chromobacterium violaceum ATCC 12472	3	TRUE	annotated_genomes_isolates	
BTO:0000047	2	NCBITaxon:331112	Escherichia coli HS	3	TRUE	annotated_genomes_isolates	
BTO:0000058	1	NCBITaxon:1263	Ruminococcus	4	TRUE	environmental_samples	
BTO:0000058	2	NCBITaxon:1265	Ruminococcus flavefaciens	4	TRUE	environmental_samples	
BTO:0000058	3	NCBITaxon:1380	Atopobium	4	TRUE	environmental_samples	
BTO:0000058	4	NCBITaxon:1485	Clostridium	4	TRUE	environmental_samples	
BTO:0000058	5	NCBITaxon:171549	Bacteroidales	4	TRUE	environmental_samples	
BTO:0000058	6	NCBITaxon:185761	Corynebacterium spheniscorum	4	TRUE	annotated_genomes_isolates	
BTO:0000058	7	NCBITaxon:186802	Eubacteriales	4	TRUE	environmental_samples	
BTO:0000058	8	NCBITaxon:186803	Lachnospiraceae	4	TRUE	environmental_samples	
BTO:0000058	9	NCBITaxon:1869227	bacterium	4	TRUE	environmental_samples	
BTO:0000058	10	NCBITaxon:2	Bacteria	4	TRUE	environmental_samples	
BTO:0000058	11	NCBITaxon:28211	Alphaproteobacteria	4	TRUE	environmental_samples	
BTO:0000058	12	NCBITaxon:31979	Clostridiaceae	4	TRUE	environmental_samples	
BTO:0000058	13	NCBITaxon:33042	Coprococcus	4	TRUE	environmental_samples	
BTO:0000058	14	NCBITaxon:541000		4	TRUE	environmental_samples	
BTO:0000058	15	NCBITaxon:629395		4	TRUE	environmental_samples	
BTO:0000058	16	NCBITaxon:766	Rickettsiales	4	TRUE	environmental_samples	
BTO:0000058	17	NCBITaxon:830	Butyrivibrio	4	TRUE	environmental_samples	
BTO:0000058	18	NCBITaxon:84107	Coriobacteriaceae	4	TRUE	environmental_samples	
BTO:0000058	19	NCBITaxon:1219065	Vibrio proteolyticus NBRC 13287	3	TRUE	annotated_genomes_isolates	
BTO:0000058	20	NCBITaxon:1219071	Vibrio harveyi NBRC 15634 = ATCC 14126 = KCTC 12724	3	TRUE	annotated_genomes_isolates	
BTO:0000058	21	NCBITaxon:1304	Streptococcus salivarius	3	TRUE	annotated_genomes_isolates	
BTO:0000058	22	NCBITaxon:1347420	Aeromonas veronii Hm21	3	TRUE	annotated_genomes_isolates	
BTO:0000058	23	NCBITaxon:1433126	Mucinivorans hirudinis	3	TRUE	annotated_genomes_isolates	
BTO:0000058	24	NCBITaxon:1437605	Bifidobacterium actinocoloniiforme DSM 22766	3	TRUE	annotated_genomes_isolates	
BTO:0000058	25	NCBITaxon:214092	Yersinia pestis CO92	3	TRUE	annotated_genomes_isolates	
BTO:0000060	1	NCBITaxon:1204724	Escherichia coli IMT2125	3	TRUE	annotated_genomes_isolates	
BTO:0000060	2	NCBITaxon:475609	Escherichia coli chi7122	3	TRUE	annotated_genomes_isolates	
BTO:0000062	1	NCBITaxon:353153	Trypanosoma cruzi strain CL Brener	3	TRUE	annotated_genomes_isolates	
BTO:0000068	1	NCBITaxon:2098	Metamycoplasma hominis	3	TRUE	annotated_genomes_isolates	
BTO:0000079	1	NCBITaxon:1423	Bacillus subtilis	3	TRUE	annotated_genomes_isolates	
BTO:0000079	2	NCBITaxon:269621	Microbotryum intermedium	3	TRUE	annotated_genomes_isolates	
BTO:0000081	1	NCBITaxon:1306407	Treponema phagedenis 4A	3	TRUE	annotated_genomes_isolates	
BTO:0000081	2	NCBITaxon:1382230	Asaia platycodi SF2.1	3	TRUE	annotated_genomes_isolates	
BTO:0000081	3	NCBITaxon:187101	Sneathia vaginalis	3	TRUE	annotated_genomes_isolates	
BTO:0000081	4	NCBITaxon:2098	Metamycoplasma hominis	3	TRUE	annotated_genomes_isolates	
BTO:0000082	1	NCBITaxon:1382230	Asaia platycodi SF2.1	3	TRUE	annotated_genomes_isolates	
BTO:0000083	1	NCBITaxon:1382230	Asaia platycodi SF2.1	3	TRUE	annotated_genomes_isolates	
BTO:0000088	1	NCBITaxon:1276220	Spiroplasma taiwanense CT-1	3	TRUE	annotated_genomes_isolates	
BTO:0000088	2	NCBITaxon:1276221	Spiroplasma diminutum CUAS-1	3	TRUE	annotated_genomes_isolates	
BTO:0000089	1	NCBITaxon:1094555	Bartonella elizabethae F9251 = ATCC 49927	4	TRUE	annotated_genomes_isolates	
BTO:0000089	2	NCBITaxon:1120932	Actinotignum schaalii DSM 15541	4	TRUE	annotated_genomes_isolates	
BTO:0000089	3	NCBITaxon:1121020	Haematomicrobium sanguinis DSM 21259	4	TRUE	annotated_genomes_isolates	
BTO:0000089	4	NCBITaxon:1121098	Phocaeicola massiliensis B84634 = Timone 84634 = DSM 17679 = JCM 13223	4	TRUE	annotated_genomes_isolates	
BTO:0000089	5	NCBITaxon:1122173	Leptotrichia trevisanii DSM 22070	4	TRUE	annotated_genomes_isolates	
BTO:0000089	6	NCBITaxon:1122921	Paenibacillus massiliensis 2301065 = DSM 16942	4	TRUE	annotated_genomes_isolates	
BTO:0000089	7	NCBITaxon:1122925	Paenibacillus sanguinis 2301083 = DSM 16941	4	TRUE	annotated_genomes_isolates	
BTO:0000089	8	NCBITaxon:1122931		4	TRUE	annotated_genomes_isolates	
BTO:0000089	9	NCBITaxon:1122988	Hoylesella nanceiensis DSM 19126 = JCM 15639	4	TRUE	annotated_genomes_isolates	
BTO:0000089	10	NCBITaxon:1123034	Psychrobacter phenylpyruvicus DSM 7000 = NBRC 102152	4	TRUE	annotated_genomes_isolates	
