prego_id	ontology	biolink_category	taxon_count	direct_assertion_count	max_prego_score	channels	prego_synonyms
ENVO:00001998	ENVO	biolink:OntologyClass	8715	11564	4.00727	annotated_genomes_isolates|environmental_samples	ground|grounds|soil|soils|soilses
ENVO:00002030	ENVO	biolink:OntologyClass	8383	9774	4	annotated_genomes_isolates|environmental_samples	aquatic|aquatic biome|aquatics
ENVO:00000446	ENVO	biolink:OntologyClass	7715	8888	4.00735	annotated_genomes_isolates|environmental_samples	terrestrial|terrestrial biome|terrestrial realm|terrestrial realmic|terrestrial realms|terrestrialic|terrestrials
ENVO:00000873	ENVO	biolink:OntologyClass	5856	6338	4	annotated_genomes_isolates|environmental_samples	freshwater|freshwater biome|freshwater realm|freshwater realmic|freshwater realms|freshwaters
ENVO:00002011	ENVO	biolink:OntologyClass	4936	5275	4	annotated_genomes_isolates|environmental_samples	fresh water|fresh waters
ENVO:01000159	ENVO	biolink:OntologyClass	4003	4555	4	environmental_samples	organic feature|organic features
ENVO:00002036	ENVO	biolink:OntologyClass	3869	4453	4	environmental_samples	biotope|biotopes|habitat|habitatic|habitats
ENVO:01000155	ENVO	biolink:OntologyClass	3590	3944	4	annotated_genomes_isolates|environmental_samples	organic material|organic materialic|organic materials
ENVO:00002007	ENVO	biolink:OntologyClass	3153	4207	4	annotated_genomes_isolates|environmental_samples	sediment|sediments
BTO:0001481	BTO	biolink:GrossAnatomicalStructure	3150	3245	4	annotated_genomes_isolates|environmental_samples	Pflanze|Pflanzes|plant|plantae|plantaes|plantic|plants|viridiplantae|viridiplantaes
ENVO:01000313	ENVO	biolink:OntologyClass	3087	3220	4	environmental_samples	anthropogenic environment|anthropogenic environments
ENVO:00000447	ENVO	biolink:OntologyClass	3082	3616	4	annotated_genomes_isolates|environmental_samples	marine|marine biome|marine realm|marine realmic|marine realms|marines|marinous
ENVO:01000007	ENVO	biolink:OntologyClass	3039	3286	4	environmental_samples	microbial feature|microbial features
ENVO:00000078	ENVO	biolink:OntologyClass	2943	3103	4	annotated_genomes_isolates|environmental_samples	farm|farmland|farmlandic|farmlands|farms|farmses|farmsic|farmstead|farmsteadic|farmsteads|ranch|ranches|ranchic
ENVO:00000015	ENVO	biolink:OntologyClass	2942	3304	4	annotated_genomes_isolates|environmental_samples	ocean|ocean region|ocean regional|ocean regions|oceanic|oceans
ENVO:00002041	ENVO	biolink:OntologyClass	2855	4757	4	annotated_genomes_isolates	ground water|ground waters
ENVO:00000111	ENVO	biolink:OntologyClass	2798	2831	4	annotated_genomes_isolates|environmental_samples	copse|copses|deciduous forest|deciduous forests|forest|forest reserve|forest reserves|forests|grove|groves
ENVO:00002006	ENVO	biolink:OntologyClass	2679	2929	4	annotated_genomes_isolates|environmental_samples	water|waters
ENVO:01000204	ENVO	biolink:OntologyClass	2670	2682	4	annotated_genomes_isolates|environmental_samples	tropical|tropicalic|tropicals
ENVO:01000206	ENVO	biolink:OntologyClass	2623	2755	4	environmental_samples	temperate|temperates
ENVO:00000086	ENVO	biolink:OntologyClass	2589	2589	2.34363	environmental_samples	llanos|llanoses|outwash plain|outwash plains|plain|plains
ENVO:01000193	ENVO	biolink:OntologyClass	2543	2587	4	environmental_samples	temperate grassland|temperate grassland biome|temperate grasslandic|temperate grasslands
ENVO:00002005	ENVO	biolink:OntologyClass	2424	2436	4	annotated_genomes_isolates|environmental_samples	air
ENVO:0010001	ENVO	biolink:OntologyClass	2418	2647	4	environmental_samples	anthropogenic environmental material|anthropogenic environmental materialic|anthropogenic environmental materials
ENVO:2100002	ENVO	biolink:OntologyClass	2406	2617	4	environmental_samples	intestine environment|intestine environments
ENVO:00000428	ENVO	biolink:OntologyClass	2394	2549	4	environmental_samples	EcosytemType|EcosytemTypes|biomal|biome|biomes|ecosystem|ecosystems|major habitat type|major habitat types
ENVO:00000114	ENVO	biolink:OntologyClass	2315	2329	4	annotated_genomes_isolates|environmental_samples	field|fields
ENVO:01000156	ENVO	biolink:OntologyClass	2205	2401	4	environmental_samples	biofilm material|biofilm materialic|biofilm materials
ENVO:01000320	ENVO	biolink:OntologyClass	2202	2301	4	environmental_samples	marine environment|marine environments
ENVO:00002982	ENVO	biolink:OntologyClass	2194	2194	3	annotated_genomes_isolates|environmental_samples	clay|clayey|clayeys
ENVO:00002261	ENVO	biolink:OntologyClass	2139	2218	4	annotated_genomes_isolates|environmental_samples	forest soil|forest soils
ENVO:01000200	ENVO	biolink:OntologyClass	2101	2101	1.96116	environmental_samples	tropical broadleaf forest|tropical broadleaf forest biome|tropical broadleaf forests
ENVO:00003031	ENVO	biolink:OntologyClass	2077	2293	4	annotated_genomes_isolates|environmental_samples	animal manure|animal manures
ENVO:01000024	ENVO	biolink:OntologyClass	2067	2067	2.20432	environmental_samples	marine benthic|marine benthic biome|marine benthics
ENVO:00002113	ENVO	biolink:OntologyClass	2065	2155	4	annotated_genomes_isolates|environmental_samples	marine sediment|marine sediments|pelagic sediment {alternative name}
ENVO:00005802	ENVO	biolink:OntologyClass	2036	2038	4	environmental_samples	bulk soil|bulk soils
ENVO:01000249	ENVO	biolink:OntologyClass	1977	1984	4	annotated_genomes_isolates|environmental_samples	urban|urban biome|urbanic|urbans
ENVO:01000180	ENVO	biolink:OntologyClass	1971	2049	4	annotated_genomes_isolates|environmental_samples	tundra|tundra biome|tundral|tundras
ENVO:00002170	ENVO	biolink:OntologyClass	1913	1915	3	annotated_genomes_isolates|environmental_samples	compost|composts
