identifier	label	assertions	status	seconds	bytes	detail
habitatmech:GOLD.cd0b0940e5	Mammals: Human	52129	ok	598	29892	research/habitats/host_associated/mammals-human-habitatmech-gold-cd0b0940e5-deep-research-claude_code.md
habitatmech:BACDIVE.0f1e92a02c	Environmental	18454	ok	603	38095	research/habitats/other/environmental-habitatmech-bacdive-0f1e92a02c-deep-research-claude_code.md
habitatmech:GOLD.47e603cf4f	Birds	1848	failed	6	0	subprocess.CalledProcessError: Command '['uvx', '--python', '3.12', '--prerelease=allow', '--from', 'deep-research-client[cyberian]', 'deep-research-client', 'research', '--template', 'templates/habit
habitatmech:GOLD.e889967f4f	Mammals	6104	failed	6	0	subprocess.CalledProcessError: Command '['uvx', '--python', '3.12', '--prerelease=allow', '--from', 'deep-research-client[cyberian]', 'deep-research-client', 'research', '--template', 'templates/habit
habitatmech:GOLD.3d529a667e	Fish	1350	ok	343	25876	research/habitats/host_associated/fish-habitatmech-gold-3d529a667e-deep-research-claude_code.md
habitatmech:BACDIVE.3d543e6b49	host_animal_endotherm	5130	ok	506	36416	research/habitats/host_associated/host-animal-endotherm-habitatmech-bacdive-3d543e6b49-deep-research-claude_code.md
habitatmech:GOLD.dba2a83b95	Arthropoda: Insects	1833	ok	531	31678	research/habitats/host_associated/arthropoda-insects-habitatmech-gold-dba2a83b95-deep-research-claude_code.md
habitatmech:GOLD.c3fa7fc4c2	Environmental	1285	ok	452	41346	research/habitats/other/environmental-habitatmech-gold-c3fa7fc4c2-deep-research-claude_code.md
habitatmech:BACDIVE.3974b3f169	Oral-cavity-and-airways	2102	ok	817	35006	research/habitats/other/oral-cavity-and-airways-habitatmech-bacdive-3974b3f169-deep-research-claude_code.md
habitatmech:BACDIVE.e68bf42dcb	host_animal_ectotherm	999	ok	560	44054	research/habitats/host_associated/host-animal-ectotherm-habitatmech-bacdive-e68bf42dcb-deep-research-claude_code.md
habitatmech:GOLD.3b04872853	Rock core/Sediment	1245	ok	674	36791	research/habitats/terrestrial/rock-core-sediment-habitatmech-gold-3b04872853-deep-research-claude_code.md
habitatmech:GOLD.6acc0797e9	Mollusca	784	ok	604	38080	research/habitats/host_associated/mollusca-habitatmech-gold-6acc0797e9-deep-research-claude_code.md
habitatmech:BACDIVE.3192a0f47e	Tree	872	ok	677	33521	research/habitats/other/tree-habitatmech-bacdive-3192a0f47e-deep-research-claude_code.md
habitatmech:GOLD.4d792ac724	Invertebrates	621	ok	407	28985	research/habitats/host_associated/invertebrates-habitatmech-gold-4d792ac724-deep-research-claude_code.md
habitatmech:GOLD.a8fc5001d1	Fungi	635	ok	561	35563	research/habitats/host_associated/fungi-habitatmech-gold-a8fc5001d1-deep-research-claude_code.md
habitatmech:BACDIVE.a4a67c4a7f	Bovinae-Cow,-Cattle	619	ok	513	35868	research/habitats/other/bovinae-cow-cattle-habitatmech-bacdive-a4a67c4a7f-deep-research-claude_code.md
habitatmech:GOLD.2959225799	Arthropoda: Crustaceans	598	ok	561	39169	research/habitats/host_associated/arthropoda-crustaceans-habitatmech-gold-2959225799-deep-research-claude_code.md
habitatmech:BACDIVE.e864a16f03	Invertebrates-Other	596	ok	546	30759	research/habitats/other/invertebrates-other-habitatmech-bacdive-e864a16f03-deep-research-claude_code.md
